Câu số,Đáp án chọn,Nội dung tóm tắt,Giải thích/Ghi chú
111,b,IS dịch phải (Sửa chữa),Tài khóa mở rộng/Tiền tệ mở rộng -> IS/LM dịch phải.
112,d,Tiêu dùng = Thu nhập khả dụng,Điểm vừa đủ (Break-even point) trên hàm tiêu dùng.
113,a,Giá cả hàng hóa (Sửa chữa),Quan điểm cổ điển: AS thẳng đứng, P linh hoạt.
115,d,IS dịch trái... (Macro),Tài khóa thắt chặt -> IS trái.
116,a,IS dốc nhỏ -> Tài khóa mạnh,Độ dốc IS ảnh hưởng hiệu quả chính sách.
117,b,MS=600 i=4%,Bài tập cân bằng thị trường tiền tệ.
118,b,Chi tiêu chính phủ (G),Mua vũ khí, làm đường... là G.
119,c,Chính sách tiền tệ không tác động Y,Trường hợp bẫy thanh khoản hoặc IS thẳng đứng.
120,a,Tăng số nhân tiền,Giảm tỷ lệ dự trữ -> Tăng số nhân -> Tăng cung tiền.
121,b,Y=1700... Y=600...,Bài tập IS-LM.
122,c,Chính sách hỗn hợp,Để giữ i không đổi hoặc Y tăng mạnh.
123,a,Giảm C, Tăng I...,Phân tích tác động chính sách.
124,a,Y=1100 i=6%,Kết quả bài toán IS-LM.
125,a,Tại một mức giá cho trước,Đường tổng cầu AD.
126,e,Tất cả (Gây lạm phát),Tăng cung tiền, tăng chi tiêu... gây áp lực lạm phát.
127,a,Lãi suất cao hơn (Sửa chữa),Chính sách tài khóa mở rộng -> i tăng.
128,d,Y và i giảm...,Tác động của suy thoái hoặc chính sách thắt chặt.
129,b,Trợ cấp kinh doanh,Yếu tố chi phí.
130,e,Tăng lương tối thiểu,Gây thất nghiệp (theo lý thuyết cổ điển) hoặc chi phí đẩy.
132,d,Y=9750 i=7.25%,Bài tập cân bằng IS-LM.
133,a,Phân phối lại của cải,Lạm phát thực tế > Dự kiến: Người đi vay có lợi (trả tiền mất giá).
134,c,Chi tiêu CP thay đổi,Yếu tố làm dịch chuyển AD.
